GO:0000280	Cre02.g086650.t1.2, Cre02.g105400.t1.1, Cre05.g241150.t1.1, Cre07.g351450.t1.1, Cre08.g362500.t1.2, Cre08.g380400.t1.2, Cre10.g432500.t1.2, Cre12.g556650.t1.2, Cre13.g589300.t1.2, Cre16.g681578.t1.1
GO:0000288	Cre10.g432650.t1.1
GO:0000290	Cre10.g432650.t1.1
GO:0000302	Cre01.g054150.t1.2, Cre07.g355600.t1.1
GO:0000303	Cre01.g054150.t1.2, Cre07.g355600.t1.1
GO:0000305	Cre01.g054150.t1.2, Cre07.g355600.t1.1
GO:0000375	Cre01.g016050.t1.2, Cre01.g024900.t1.1, Cre01.g051100.t1.2, Cre01.g055416.t1.1, Cre03.g151750.t1.2, Cre03.g156100.t1.2, Cre03.g164101.t1.1, Cre06.g300750.t1.1, Cre07.g347250.t1.1, Cre07.g347350.t1.1, Cre07.g347350.t2.1, Cre08.g385200.t1.1, Cre09.g386731.t1.1, Cre09.g401300.t1.2, Cre09.g405650.t1.2, Cre09.g416000.t1.2, Cre10.g424850.t1.2, Cre10.g437850.t1.1, Cre12.g524100.t1.2, Cre12.g538150.t1.2, Cre12.g553750.t1.1, Cre13.g566700.t1.1, Cre14.g621300.t1.1, Cre14.g621300.t2.1, Cre14.g633650.t1.1, Cre24.g755447.t1.1
GO:0000377	Cre01.g016050.t1.2, Cre01.g024900.t1.1, Cre01.g051100.t1.2, Cre01.g055416.t1.1, Cre03.g151750.t1.2, Cre03.g156100.t1.2, Cre03.g164101.t1.1, Cre06.g300750.t1.1, Cre07.g347250.t1.1, Cre07.g347350.t1.1, Cre07.g347350.t2.1, Cre08.g385200.t1.1, Cre09.g386731.t1.1, Cre09.g401300.t1.2, Cre09.g405650.t1.2, Cre09.g416000.t1.2, Cre10.g424850.t1.2, Cre10.g437850.t1.1, Cre12.g524100.t1.2, Cre12.g538150.t1.2, Cre12.g553750.t1.1, Cre13.g566700.t1.1, Cre14.g621300.t1.1, Cre14.g621300.t2.1, Cre14.g633650.t1.1, Cre24.g755447.t1.1
GO:0000387	Cre09.g401300.t1.2, Cre09.g405650.t1.2, Cre10.g424850.t1.2, Cre12.g538150.t1.2
GO:0000394	Cre01.g015650.t1.2, Cre02.g096900.t1.2, Cre03.g193250.t1.2, Cre14.g630500.t1.2
GO:0000398	Cre01.g016050.t1.2, Cre01.g024900.t1.1, Cre01.g051100.t1.2, Cre01.g055416.t1.1, Cre03.g151750.t1.2, Cre03.g156100.t1.2, Cre03.g164101.t1.1, Cre06.g300750.t1.1, Cre07.g347250.t1.1, Cre07.g347350.t1.1, Cre07.g347350.t2.1, Cre08.g385200.t1.1, Cre09.g386731.t1.1, Cre09.g401300.t1.2, Cre09.g405650.t1.2, Cre09.g416000.t1.2, Cre10.g424850.t1.2, Cre10.g437850.t1.1, Cre12.g524100.t1.2, Cre12.g538150.t1.2, Cre12.g553750.t1.1, Cre13.g566700.t1.1, Cre14.g621300.t1.1, Cre14.g621300.t2.1, Cre14.g633650.t1.1, Cre24.g755447.t1.1
GO:0000413	Cre01.g002300.t1.2, Cre01.g037400.t1.1, Cre01.g047700.t1.2, Cre02.g106150.t1.2, Cre02.g114700.t1.2, Cre03.g174750.t1.2, Cre03.g189800.t1.2, Cre04.g215950.t1.1, Cre06.g262300.t1.2, Cre06.g284900.t1.2, Cre06.g284900.t2.1, Cre06.g292500.t1.2, Cre06.g292500.t2.1, Cre06.g292500.t3.1, Cre10.g417500.t1.2, Cre10.g453900.t1.2, Cre10.g457000.t1.1, Cre10.g460600.t1.1, Cre10.g460650.t1.2, Cre11.g479850.t1.2, Cre12.g495951.t1.1, Cre12.g495951.t2.1, Cre12.g499400.t1.2, Cre12.g533800.t1.2, Cre12.g544113.t1.1, Cre12.g544114.t1.1, Cre12.g544150.t1.2, Cre12.g544200.t1.1, Cre12.g561000.t1.1, Cre13.g588100.t1.2, Cre14.g619300.t1.1, Cre14.g628450.t1.1, Cre16.g686173.t1.1
GO:0000723	Cre02.g141406.t1.1, Cre03.g144244.t1.1, Cre03.g192550.t1.1, Cre06.g296150.t1.2, Cre09.g417400.t2.1, Cre12.g485438.t1.1, Cre12.g512100.t1.1, Cre12.g551550.t1.1, Cre13.g607500.t1.2, Cre16.g685613.t1.1
GO:0000724	Cre01.g025300.t1.1, Cre10.g440200.t1.1, Cre10.g440300.t1.1, Cre13.g566900.t1.1, Cre14.g622850.t1.1
GO:0000725	Cre01.g025300.t1.1, Cre10.g440200.t1.1, Cre10.g440300.t1.1, Cre13.g566900.t1.1, Cre14.g622850.t1.1
GO:0000737	Cre02.g084800.t1.2, Cre14.g619825.t1.1
GO:0000819	Cre02.g086650.t1.2, Cre05.g241150.t1.1, Cre07.g351450.t1.1, Cre08.g362500.t1.2, Cre08.g380400.t1.2, Cre10.g432500.t1.2, Cre12.g556650.t1.2, Cre13.g589300.t1.2, Cre16.g681578.t1.1
GO:0000910	Cre12.g519700.t1.1, Cre12.g522950.t1.2, Cre12.g524950.t1.1, Cre13.g588310.t1.1, Cre14.g614050.t1.1, Cre17.g720350.t1.1
GO:0000917	Cre12.g519700.t1.1, Cre12.g522950.t1.2, Cre12.g524950.t1.1, Cre13.g588310.t1.1, Cre17.g720350.t1.1
GO:0000918	Cre12.g522950.t1.2
GO:0000956	Cre02.g092500.t1.1, Cre07.g347700.t1.1, Cre09.g388615.t1.1, Cre10.g432650.t1.1
GO:0001505	Cre06.g308650.t1.1, Cre09.g395250.t1.1, Cre09.g412850.t1.1, Cre14.g625850.t1.1
