Name	CONTROLE_1_L007	CONTROLE_1_L008	SAL_24_1_L007	SAL_24_1_L008	SAL_48_1_L007	SAL_48_1_L008	SAL_48_2_L007	SAL_48_2_L008	SAL_48_3_L007	SAL_48_3_L008
Cre01.g048701.t1.1	0	0	0	0	0	0	0	0	0	0
Cre01.g048650.t1.1	131.381	130.97	77.9354	77.3873	37.0829	38.5317	39.1443	41.0331	49.2579	49.3654
Cre01.g048450.t1.1	4.65874	5.11045	12.3526	12.539	7.26048	7.0668	10.1207	11.2237	5.15121	4.33313
Cre01.g048400.t1.1	30.2417	30.8758	18.7624	18.6085	2.38204	2.87675	12.031	11.3414	7.55727	7.10988
Cre01.g048300.t1.1	2.07186	2.51263	3.69838	3.56576	2.82105	2.08555	3.66163	2.14145	2.80707	1.94343
Cre01.g048200.t1.1	3.75376	3.67143	3.64698	3.81353	0.513469	0.237947	3.52222	3.84575	1.06417	1.26497
Cre01.g048150.t1.2	10.7481	11.4887	111.688	102.222	256.736	253.048	119.354	118.806	152.234	144.083
Cre01.g048102.t1.2	1.03235	1.4387	0.700934	0.753224	0.475166	0.587179	1.14811	1.20002	1.16248	1.20934
Cre01.g048100.t1.1	8.0954	8.25871	5.89705	6.50967	3.17754	2.93417	6.86791	6.80012	4.58612	4.04282
Cre01.g048050.t1.2	8.76754	7.78274	12.6338	12.7712	8.92788	9.63291	8.58727	10.771	5.22861	4.58082
Cre12.g487000.t1.1	0.374462	0.661679	0	0	0.054271	0.027083	0	0	0	0
Cre01.g048000.t1.1	14.8367	14.5265	8.92419	9.46618	2.21681	1.70043	5.50481	5.09642	3.89568	4.02094
Cre01.g047850.t1.2	1.87385	2.52614	3.79236	4.51833	2.80782	2.71402	7.21927	6.14188	3.17469	4.74746
Cre01.g047800.t1.1	4.67921	6.49026	38.2243	39.3439	35.454	35.4673	29.1462	26.7931	25.5461	29.573
Cre01.g047750.t1.2	4317.55	4295.81	2857.31	2882.54	2107.13	2085.65	3076.35	3042.53	2942.82	2860.12
Cre01.g047700.t1.2	21.8438	21.5856	38.6438	37.1698	23.8391	25.5549	37.0412	38.2093	66.5246	58.538
Cre01.g047650.t1.2	4.53702	4.65344	3.16913	3.2304	1.49728	1.89645	2.50664	2.91731	3.2371	2.96905
Cre01.g047550.t1.2	96.7186	96.4645	104.512	101.158	45.2217	50.9731	88.1293	86.8062	94.9933	90.9355
Cre10.g442600.t1.2	3.16668	1.80144	0	0	0	0	0	0	0	0
Cre01.g047450.t1.1	4.97973	6.08892	9.82817	13.2226	10.1764	11.9563	12.0848	9.64287	2.58441	3.22062
Cre01.g047350.t1.1	2.59317	2.58991	2.1761	2.84191	1.6376	1.74162	3.37334	3.59209	1.38032	0.777813
Cre01.g047300.t1.2	18.3015	20.285	23.0561	22.2454	5.92144	5.90822	18.7809	19.2742	9.13318	10.5216
Cre01.g047265.t1.1	4.76418	4.98621	3.81334	4.01315	5.63497	5.64183	11.6266	12.5072	6.36557	6.1516
