Name	CONTROLE_1_L007	CONTROLE_1_L008	SAL_24_1_L007	SAL_24_1_L008	SAL_48_1_L007	SAL_48_1_L008	SAL_48_2_L007	SAL_48_2_L008	SAL_48_3_L007	SAL_48_3_L008
CHLRE_03g160450v5	11.1821	10.638	14.0506	12.7309	6.8605	6.01686	12.7142	12.3833	5.4992	5.01786
CHLRE_02g099500v5	6.82266	8.94468	14.6638	16.5055	0	0	4.23611	7.54952	43.2196	40.7285
CHLRE_13g563600v5	2.29842	1.80843	0	0.078088	1.30739	1.43509	0.63242	1.18287	0	0
CHLRE_09g399910v5	8.30982	8.55714	4.9734	4.76274	3.44522	3.25755	3.83429	4.18972	0	0
CHLRE_13g563700v5	2.52399	2.23896	0.708457	0.688352	0.736043	0.656507	1.3809	1.09468	2.0612	2.22911
CHLRE_09g412350v5	1.77727	1.67995	9.47184	8.64291	5.11986	5.4785	6.82092	6.9168	2.32434	3.61861
CHLRE_13g563733v5	8.36016	4.77505	0	0	12.3384	0	3.89364	4.48592	0	0
CHLRE_13g563733v5	8.67355	14.9232	12.0151	11.9876	0	11.5032	9.53493	8.35615	12.3633	15.3044
CHLRE_13g563800v5	21.9655	21.6369	17.3281	15.8544	6.48935	7.28065	10.9875	10.0202	11.2177	11.2364
CHLRE_01g039900v5	3.89572	4.50709	7.4517	7.78087	3.73933	2.7899	6.18614	5.51508	2.92687	3.72853
CHLRE_13g563876v5	0.240949	0.202447	0	0	0	0	0	0	0	0
CHLRE_17g704450v5	3.74986	4.24868	5.91002	4.73175	3.47235	3.25826	6.23971	6.76191	3.85009	4.69873
CHLRE_13g563926v5	4.80852	4.66283	7.98862	7.03189	5.36334	4.56878	5.6159	5.75988	4.71301	3.96447
CHLRE_13g563950v5	26.4318	31.3971	64.1241	65.4694	19.6554	20.5716	48.4424	46.9841	22.832	21.5993
CHLRE_13g564050v5	6.39834	6.61322	20.3268	21.4068	15.3224	16.9624	18.6738	18.7515	14.5241	17.0906
CHLRE_13g564426v5	2.22731	1.11186	0	0	0	0	0.835982	0.208388	0	0
CHLRE_13g564550v5	6.80332	6.1942	7.98771	8.19173	14.7956	14.9491	14.1648	13.4501	7.4198	6.97438
CHLRE_14g632501v5	7.49607	7.99659	5.93402	6.04752	2.45464	2.28983	6.5158	5.21293	4.43578	3.82467
CHLRE_01g027550v5	11.6314	12.5199	22.5433	23.0358	53.5378	54.7944	32.6487	29.8082	34.8857	38.5948
CHLRE_13g564583v5	0.028948	0.057823	0	0	0.190891	0.163305	0.395387	0.197237	0	0
CHLRE_13g564650v5	6.76539	7.15372	6.18471	5.57604	2.84454	3.04911	5.15521	4.7941	8.36005	9.68466
CHLRE_13g564750v5	1.80624	2.00651	5.48472	5.09778	2.90309	3.22057	5.07388	5.11471	11.2758	10.1877
CHLRE_13g564766v5	2.87985	2.82834	1.75165	1.58653	1.26661	1.48995	2.07671	2.0447	1.86934	1.96441
CHLRE_13g564812v5	1.75625	0	1.87239	1.30914	2.61968	0	4.04147	5.31925	5.6953	5.3957
CHLRE_03g202225v5	273.054	285.457	179.845	178.338	22.9315	20.5795	134.438	129.293	191.797	186.433
CHLRE_15g640600v5	0.908131	1.28476	1.02072	0.848533	0.212967	0.354184	1.71718	1.54162	0	0
CHLRE_02g076950v5	50.4925	49.1014	72.5825	74.2084	24.7332	24.7163	39.2086	39.1862	41.8854	42.1691
CHLRE_13g564850v5	8.97164	9.0308	13.5278	14.2233	7.78167	7.60047	9.88565	9.78242	7.29423	5.12013
CHLRE_13g564900v5	24.0192	24.4843	31.1691	31.2804	18.2865	18.4849	28.6854	30.0279	33.3428	31.7284
CHLRE_11g467774v5	1.47766	1.47575	2.63627	3.06869	1.18574	1.14257	3.11332	3.10596	1.28304	1.18777
CHLRE_13g564950v5	2.16601	2.30763	8.31802	7.31115	3.31393	3.52979	5.94987	6.24684	4.0542	3.31211
CHLRE_13g565050v5	1.77953	1.88608	0.693428	0.488391	0.957298	1.33076	1.94182	1.89607	0.076535	0
CHLRE_02g097334v5	0	0	0	0	0	0	0	0	0	0
CHLRE_03g144504v5	264.487	250.116	324.167	313.214	476.803	489.864	475.348	478.91	383.052	404.242
CHLRE_13g565270v5	6.11562	5.42703	8.90228	9.72572	7.87695	7.45377	5.36831	5.02519	8.54701	10.9071
CHLRE_16g675413v5	3.89549	3.73677	1.39457	1.48613	0.955818	0.919973	1.03074	1.1107	0.710182	0.606884
CHLRE_13g565301v5	5.72166	6.93579	0.536008	1.41444	0.52414	0.433377	3.10908	3.12615	0	0
CHLRE_09g399300v5	5.64315	4.60208	19.9865	19.7251	22.9004	23.0252	18.5433	24.7676	10.3577	12.9075
CHLRE_13g565301v5	1.97185	0.697949	0	0	0.20546	0	0.550414	0.546521	0	0
CHLRE_06g278269v5	4.40572	4.50854	4.02371	3.9042	2.293	1.91905	6.62955	6.20825	6.62485	6.39707
CHLRE_03g180900v5	11.7763	13.3324	9.92263	8.47744	10.0695	9.42997	2.10174	3.43791	0	0
CHLRE_06g254002v5	0	0	0	0	0	0	0	0	0	0
CHLRE_13g565311v5	7.39895	7.1601	0	0	3.22468	3.81867	1.467	0.243759	0	0
CHLRE_10g433866v5	5.49779	3.92757	0	0	0	0	12.1215	8.67829	0	0
CHLRE_13g565321v5	0	0	0	0	0	0	0	0.104179	0	0
CHLRE_03g167550v5	13.5861	13.0518	10.443	10.3697	1.04992	1.03369	6.82731	6.72525	4.55494	4.47718
CHLRE_02g095108v5	0	0	0	0	0	0	0	0	0	0
CHLRE_13g565450v5	42.0712	43.9134	58.6952	59.1376	55.6895	54.765	56.2656	56.1304	77.5501	77.7266
CHLRE_10g430900v5	6.24695	5.89359	3.66981	3.14011	1.15105	1.07228	4.31048	4.00009	0.556718	0.939282
CHLRE_07g325723v5	46.6023	48.7077	36.166	32.9586	15.048	16.5769	25.3905	26.0158	32.1051	29.5515
CHLRE_13g565675v5	0.378802	0.504445	0.378077	0.165054	0.039678	0	0.191731	0.047824	0	0
CHLRE_17g728300v5	29.4401	29.1474	14.603	14.8148	3.82241	4.0874	7.87726	7.65313	11.9182	12.4152
CHLRE_13g565750v5	2.26555	4.99245	4.24185	4.22976	0.766703	4.74629	4.66384	1.73142	12.899	13.5895
CHLRE_13g565750v5	4.75375	2.25755	7.19937	7.13574	8.09186	4.31509	11.8678	14.9889	0	0
CHLRE_15g643388v5	0.066088	0.058635	0	0	0	0	0	0	0	0
CHLRE_13g565800v5	2006.96	2030.43	1717.14	1698.94	686.741	686.189	1002.46	1038.95	997.134	965.428
CHLRE_04g222250v5	11.5184	11.6662	26.5111	26.7805	30.8439	27.5914	33.9699	31.811	18.8041	17.1194
CHLRE_13g565850v5	54.5169	54.6038	87.1673	85.996	59.7332	59.472	77.186	79.4401	81.8829	84.4495
CHLRE_03g161350v5	0	0	0	0	0.07013	0	0	0.156767	2.90648	3.0356
CHLRE_03g176450v5	10.4767	7.9921	0	1.77344	1.48074	1.18458	0	0	0	0
CHLRE_13g565950v5	32.7101	32.5007	53.2734	50.0862	23.1166	24.8324	41.5522	42.609	20.6269	20.2251
CHLRE_01g045400v5	2.45027	4.12887	0	2.77549	0	0.452322	2.50046	2.4932	0	0
CHLRE_13g566050v5	102.026	93.0269	204.973	207.006	84.2789	79.8888	152.228	138.41	120.391	127.713
CHLRE_13g566100v5	10.4012	11.0562	10.3148	10.9151	8.9929	8.03322	12.5306	12.7502	16.131	13.4801
CHLRE_13g566150v5	3.04861	2.8815	8.37959	7.81097	3.68391	4.74865	9.27819	9.93464	16.0866	16.1522
CHLRE_08g380600v5	33.4641	32.3623	32.7028	32.5091	34.368	36.719	30.9402	32.2044	23.4358	26.235
CHLRE_14g627350v5	1.08246	0.688336	3.76899	3.41352	2.1317	2.12251	4.99846	5.06239	4.48594	4.49833
CHLRE_13g604350v5	0	0	0	0	0	0	0	0	0	0
CHLRE_13g566500v5	1.9524	2.25614	0	0	1.37094	1.29357	1.82395	1.83277	4.46388	4.21237
CHLRE_13g566500v5	0	0	0.872039	1.10755	0	0	0	0	0	0
CHLRE_06g273450v5	83.0561	82.9139	44.7894	46.2212	6.73082	6.57348	20.6986	19.1784	11.2999	13.6794
CHLRE_13g566600v5	0	0	0	0	0	0	0	0	0	0
CHLRE_13g603600v5	4.72636	5.04766	2.57479	2.62167	2.93304	2.8182	3.96966	4.01375	5.17178	4.46861
CHLRE_13g566626v5	0	0	0	0	0.472144	0	0	0	0	0
CHLRE_13g566700v5	56.4326	56.8292	124.682	113.433	61.0385	62.7845	79.3112	83.4349	79.2591	77.7453
CHLRE_13g575450v5	0	0	0	0	0	0	0	0	0	0
CHLRE_06g276759v5	0	0	0	0	0	0	2.04496	1.80306	0	0
CHLRE_06g257100v5	2.43596	2.6972	5.59264	5.7578	5.07732	4.42117	6.43871	4.9225	3.57627	2.89687
CHLRE_03g203100v5	0.503472	0.335217	1.36672	0.658311	0.592163	0.315192	1.00195	1.04719	3.53846	2.99855
CHLRE_13g566750v5	7.47075	6.92792	0.932713	0.864062	3.89908	3.05723	6.86918	6.31508	2.12835	3.74447
CHLRE_13g566800v5	0	0	0	0	0	0	0	0.131732	0	0
CHLRE_17g732050v5	0	1.41934	3.54826	4.01208	0	1.96121	3.94772	0	0.999743	0.442978
CHLRE_13g566800v5	0	0	0	0	0	0	0	0	0	0
CHLRE_13g566850v5	10.188	9.23282	4.28182	4.50167	12.9035	15.1801	5.12752	3.71945	8.06997	8.48012
CHLRE_13g574900v5	29.1802	30.2654	19.5018	18.8081	10.0141	10.2022	13.3627	13.4617	13.9305	13.802
CHLRE_03g196050v5	51.6328	55.1182	23.7286	24.3232	15.2235	17.0455	34.3388	33.7191	27.1073	32.7264
CHLRE_12g541352v5	3.27745	0	7.24337	6.62769	6.27296	6.5228	0	0	4.00288	3.94207
CHLRE_13g566925v5	0	0	0	0	0	0	0	0	0	0
CHLRE_08g361250v5	4.73513	4.9895	10.3109	8.92959	8.70387	9.55577	11.3708	10.1642	10.0334	11.5792
CHLRE_13g566951v5	0	0	0	0	0.088197	0.088072	0	0	0	0
CHLRE_16g668502v5	0	0	0	0	0	0	0	0	0	0
CHLRE_17g734200v5	80.5053	77.5281	109.243	110.656	103.146	104.053	105.003	97.0242	129.448	131.264
CHLRE_13g571876v5	0.12078	0.120602	0	0	0	0	0.136604	0	0	0
CHLRE_13g567000v5	0.074936	0.074834	0	0	0.070298	0	0	0	0	0
CHLRE_13g578650v5	10.0995	9.00205	12.6444	13.7116	12.9498	12.6863	8.97753	10.5589	11.4428	13.6136
CHLRE_13g567100v5	6.87435	5.41503	10.1157	10.4724	7.37477	7.22376	9.02455	10.101	10.8255	9.36713
CHLRE_13g567150v5	33.269	34.3414	17.3529	18.201	6.88952	6.87558	18.8504	16.4477	10.341	9.68431
CHLRE_13g567200v5	0	0	0	0	1.17034	1.32711	0	0.578785	0	0
CHLRE_13g567200v5	1.43879	2.06694	1.43846	1.50164	0	0	2.08766	1.82465	1.16137	0.868389
CHLRE_13g567250v5	6.60862	7.39912	15.7633	13.4769	7.87238	7.10659	9.98012	9.16256	13.1545	16.0755
CHLRE_13g567363v5	11.3236	10.7473	7.76918	6.23262	5.31548	5.48941	2.61066	3.61692	0	0
CHLRE_01g048550v5	6.0987	6.30404	13.8756	13.6827	4.22884	3.83669	6.29876	5.45972	0.766204	0.381937
CHLRE_03g156800v5	5.01611	5.91156	6.36157	6.16928	3.20685	3.05105	4.4181	5.13045	1.40781	1.26986
CHLRE_01g010050v5	3.40709	3.67302	2.55008	2.3781	2.13002	2.21517	3.7281	3.71972	2.21814	2.52329
CHLRE_01g016514v5	22.717	26.098	52.7538	53.438	3.88533	4.08828	40.682	39.2108	32.192	34.1708
