"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CHLRE_06g278184v5",7617.52117921485,-1.10419142571855,0.0297282184848478,-3.50479884193719,0.000456952404209704,0.0030991851739796
"CHLRE_11g467707v5",2812.26158033716,-1.14091246608696,0.0457461178761236,-3.08031528420698,0.00206781573921322,0.0123329967445352
"CHLRE_11g467535v5",2190.32317223421,-1.14143220203324,0.0533168083249062,-2.65267570353,0.00798565536704804,0.0419056345089449
"CHLRE_02g078804v5",5258.72523828097,-1.14789549725715,0.0316626500861834,-4.67097658770145,2.99771108627707e-06,2.89427766656462e-05
"CHLRE_06g278209v5",2517.67281325811,-1.19409954190249,0.0464285959840503,-4.18060330683196,2.90736686802183e-05,0.000242176922892442
"CHLRE_17g703700v5",2127.48350191867,-1.1990906749375,0.0500968347869507,-3.97411684359272,7.06408804043443e-05,0.000555732043989059
"CHLRE_17g722300v5",4184.97697991184,-1.20173592763357,0.0350621827570492,-5.75366140298298,8.73309889990974e-09,1.1811800624972e-07
"CHLRE_08g378100v5",1033.792313747,-1.2146551303677,0.0695348828714637,-3.08701361825107,0.00202178334111147,0.0120970468028347
"CHLRE_10g451850v5",2038.09534269655,-1.21881904689664,0.050136547186469,-4.36446183824358,1.27436092779431e-05,0.000112466262806096
"CHLRE_17g742300v5",1156.9361741834,-1.2311038169901,0.0710640952285793,-3.2520475529415,0.00114576850956859,0.00723048783958678
"CHLRE_11g467770v5",6696.42196956274,-1.23632480489764,0.0277936142463872,-8.50284539472441,1.84999218149997e-17,5.14584134770795e-16
"CHLRE_02g095140v5",1781.04475908603,-1.25093207357612,0.0548570730895594,-4.57428840883374,4.77841237437439e-06,4.46144276232798e-05
"CHLRE_11g467543v5",1039.82842940524,-1.25366377318492,0.0781360424110961,-3.24643743600842,0.00116859130027459,0.00734475742593565
"CHLRE_17g746997v5",6539.5349685954,-1.25646068988713,0.0274917632354821,-9.32863737005146,1.07240694553517e-20,3.45610872861093e-19
"CHLRE_15g637150v5",561.299319319843,-1.2572319496852,0.0966020509528321,-2.66280008703751,0.007749343787559,0.0407800490081793
"CHLRE_06g305950v5",818.024129658402,-1.25938822206595,0.0818645583263902,-3.16850450755232,0.00153225373011136,0.00942134431685575
"CHLRE_09g414626v5",517.563314262055,-1.26396424630578,0.100577910351578,-2.62447534834511,0.00867825744942925,0.0450594411790921
"CHLRE_07g342350v5",611.715845360374,-1.26459660375178,0.0955325079778297,-2.76970226525598,0.0056107555134549,0.0304341967665406
"CHLRE_03g177350v5",1615.91228592271,-1.27376390987577,0.0574962456601244,-4.7614223630194,1.92233251101074e-06,1.91536456800708e-05
"CHLRE_02g078100v5",1274.48717083439,-1.27456576929574,0.0629763402428212,-4.3598241535962,1.30167002161094e-05,0.000114768000207319
"CHLRE_05g238650v5",1899.98206283226,-1.28071310494044,0.0517629899161658,-5.42304657043729,5.85917194583832e-08,7.16751583845614e-07
"CHLRE_07g313650v5",546.541481640008,-1.28610664803973,0.104616865703176,-2.73480424133032,0.00624173840231602,0.0336808817021048
"CHLRE_02g083950v5",1795.16621696002,-1.28780332163673,0.053983334456467,-5.33133650476558,9.74925714249475e-08,1.16816099043277e-06
"CHLRE_16g682369v5",1127.87053428759,-1.29021661816661,0.0677640996981185,-4.28274882215641,1.84598518289641e-05,0.00015945080886645
"CHLRE_04g217931v5",1513.09128572295,-1.29617244148772,0.0664280256661746,-4.45854650228651,8.25172964300139e-06,7.48018091595451e-05
"CHLRE_11g476650v5",380.436174090311,-1.30993768247337,0.117691728185233,-2.63347039976817,0.00845172023047546,0.0440299761839597
"CHLRE_16g673109v5",2157.69178574108,-1.31266221278773,0.050081433176299,-6.24307638495662,4.29047239451158e-10,6.6831258331842e-09
"CHLRE_08g360564v5",1204.41089120725,-1.31413040092522,0.0691172915912784,-4.54488874915429,5.49642767649493e-06,5.0810695414957e-05
"CHLRE_16g694203v5",2214.39813524499,-1.32599177165206,0.0561154095205858,-5.80930932229003,6.27310941583559e-09,8.55890227743057e-08
"CHLRE_17g712000v5",388.602134815459,-1.32820462466603,0.115312131314472,-2.84622806746126,0.00442404969083464,0.024451311892691
"CHLRE_06g278165v5",603.854674913452,-1.33240087532104,0.0959829132829074,-3.46312550798806,0.00053393927616695,0.00359006940651534
"CHLRE_06g278085v5",469.089878610575,-1.33364153469209,0.11973984046951,-2.78638699854493,0.00532991976302241,0.0290626780077056
"CHLRE_09g387850v5",1765.39545643087,-1.33985259115912,0.0538966447438098,-6.30563540225122,2.87013958544882e-10,4.61692333315054e-09
"CHLRE_09g399250v5",1699.19315043331,-1.34230117694641,0.0660782864298121,-5.18023688931459,2.2160429712802e-07,2.52883243096272e-06
"CHLRE_18g749497v5",396.864419035661,-1.34430797762884,0.113936406254624,-3.0219311714939,0.00251167651329676,0.0146896925489809
"CHLRE_03g144647v5",1580.5546520544,-1.34570119496349,0.075609318437367,-4.57220356046271,4.82621734025574e-06,4.49261227709463e-05
"CHLRE_17g699750v5",1637.67749185097,-1.34725959065212,0.0584858383855993,-5.93749872170121,2.89403301255466e-09,4.15478226349244e-08
"CHLRE_10g443900v5",771.176779711618,-1.34793840361068,0.083739615232125,-4.15500361025308,3.25282406118787e-05,0.000269511468757641
"CHLRE_03g212977v5",1188.28363456746,-1.35118728728732,0.0777019606239638,-4.51967086116249,6.19358451607458e-06,5.69176409903963e-05
"CHLRE_12g520200v5",553.108410881142,-1.35285034152495,0.101179121324818,-3.48738293933377,0.000487772401022479,0.00329149520574447
"CHLRE_18g748947v5",404.63409594742,-1.35401614015189,0.113264464920025,-3.12557111713599,0.00177460155044196,0.0108048378439287
"CHLRE_09g390603v5",308.493851943419,-1.35426877296329,0.130036133106255,-2.72438717224702,0.00644209373431084,0.034661950512878
"CHLRE_07g336900v5",6692.3237733778,-1.35562437611029,0.0276441237615843,-12.8643750540753,7.14171995485591e-38,3.90330495310429e-36
"CHLRE_13g575200v5",401.796369178129,-1.35587425704729,0.118324158732055,-3.0076212741404,0.00263301044666658,0.0153512886054559
"CHLRE_11g467679v5",769.782303802753,-1.35940165349543,0.084893032898756,-4.23358244161281,2.29997813159996e-05,0.00019600838612987
"CHLRE_13g583650v5",835.691920175245,-1.36042557643002,0.088493921669097,-4.07288511608457,4.6434331661089e-05,0.000376061753643447
"CHLRE_03g201250v5",603.751513443155,-1.3682678583955,0.104334144359975,-3.52969644457806,0.000416036713445451,0.00283815994442423
"CHLRE_03g168550v5",672.524832351674,-1.37015364020213,0.08802752884932,-4.2049759324238,2.61109940760542e-05,0.000220445664530084
"CHLRE_16g654500v5",1144.08579334164,-1.37407034526346,0.0673681511376916,-5.5526289343893,2.81405010983962e-08,3.57338482697841e-07
"CHLRE_01g020305v5",1537.13643995662,-1.37444093270117,0.0588224347580434,-6.36561431435769,1.94509642015408e-10,3.18927563908071e-09
"CHLRE_02g098850v5",872.401888656049,-1.37795872600671,0.0772457593026711,-4.89293819387239,9.93416110396593e-07,1.03160744086295e-05
"CHLRE_09g399104v5",385.038998625987,-1.3783772705454,0.121560063373605,-3.11267747025176,0.00185398508000026,0.0112223734181881
"CHLRE_09g403034v5",531.847393954287,-1.38002149645731,0.103475221814481,-3.67258450664297,0.000240109710610187,0.00172355250027865
"CHLRE_07g343050v5",1751.89387594499,-1.38488397775134,0.0557123712053837,-6.90841135324259,4.90111093978943e-12,9.50327444881162e-11
"CHLRE_09g390800v5",275.263070785273,-1.38563356981997,0.145600645186412,-2.64857047388934,0.00808329939145987,0.0423467018568296
"CHLRE_11g467547v5",577.652651970257,-1.40046248148738,0.104397535280285,-3.83593808428736,0.000125085920454627,0.000945835770686844
"CHLRE_03g146547v5",619.262454556923,-1.40222156233022,0.0947290701088955,-4.2460203807326,2.17600846152503e-05,0.000186236035544074
"CHLRE_16g659150v5",272.536283339414,-1.40314035060324,0.142636733838659,-2.82634311480553,0.00470828012680862,0.0258996975074476
"CHLRE_09g399350v5",683.887718632214,-1.4052903410951,0.0874091944625697,-4.63670147731032,3.54013114715566e-06,3.37957770187097e-05
"CHLRE_01g055453v5",1033.08143515848,-1.40909866979996,0.072970889290102,-5.6063270405483,2.06665294907298e-08,2.66780917983924e-07
"CHLRE_06g250850v5",5206.24706095625,-1.40931699575868,0.0318301820191971,-12.8593985265876,7.61670261700887e-38,4.13870364293982e-36
"CHLRE_10g464200v5",315.934268163456,-1.4116902439452,0.129418674731116,-3.18107293866626,0.00146730681999675,0.00905178187438257
"CHLRE_03g144687v5",447.451493992452,-1.41213057539999,0.108004530136194,-3.81586378719757,0.000135707355728069,0.00101955060018853
"CHLRE_48g761197v5",1257.66197062301,-1.41790713199779,0.0651110665707339,-6.41837331206667,1.37738160484791e-10,2.29875151409081e-09
"CHLRE_10g450800v5",525.93775694683,-1.41861299181782,0.11292227116553,-3.70708973081305,0.000209654674337479,0.00152603783984274
"CHLRE_06g278166v5",493.419609741771,-1.4198139870478,0.106511148946981,-3.94150275532912,8.09727047213213e-05,0.000630642415271224
"CHLRE_16g691215v5",220.025831658373,-1.42453506172271,0.160278752575215,-2.64872950969269,0.00807949686912312,0.0423467018568296
"CHLRE_03g164101v5",600.307055486338,-1.42498794157264,0.0960185658574032,-4.42610174165473,9.59512816882964e-06,8.58966167297719e-05
"CHLRE_01g070567v5",222.086058497237,-1.4278063572859,0.158615487286046,-2.69712853773479,0.00699402676020052,0.0372669179594265
"CHLRE_06g305850v5",382.552676048206,-1.42789561141894,0.142880653611585,-2.99477641376247,0.00274646081771328,0.0159233392074121
"CHLRE_16g657100v5",252.599240823265,-1.42834882258586,0.151033387719168,-2.83612007288303,0.00456652741107937,0.0252089575805953
"CHLRE_01g008650v5",1333.12937451751,-1.42911506224702,0.0635775895499695,-6.74947045467577,1.48385721181473e-11,2.7299467522875e-10
"CHLRE_02g095062v5",233.131130075313,-1.43269718725465,0.151029164572326,-2.86499093390295,0.00417021181338348,0.0232269365958773
"CHLRE_12g504050v5",265.480699091621,-1.43413067529292,0.145690873914146,-2.97980692701964,0.00288430115776821,0.0166399250743838
"CHLRE_03g201750v5",249.873983162042,-1.43518774890513,0.146800138592881,-2.9644914035949,0.00303183713707576,0.0174051289208293
"CHLRE_03g155800v5",3189.47797223556,-1.43853679833976,0.0419656426439727,-10.4499006975828,1.46678726965315e-25,5.73581331471896e-24
"CHLRE_04g214500v5",413.93383335059,-1.44463943997539,0.131174124439662,-3.38968864381414,0.000699720471570374,0.00460210241189072
"CHLRE_16g672041v5",317.687077776272,-1.44513477237862,0.137025791547329,-3.24854735267026,0.00115995900252239,0.0073150990806844
"CHLRE_11g467590v5",486.673078982394,-1.44558101626211,0.114346417534813,-3.89676411267065,9.7486485897868e-05,0.000750501398024279
"CHLRE_09g394362v5",356.220641664864,-1.449724416811,0.123145234937383,-3.65198391183938,0.000260222190850272,0.00185793475606313
"CHLRE_02g094250v5",3088.13464771414,-1.45308648321994,0.0454874479622478,-9.96069253205793,2.2647953949803e-23,8.10987653696776e-22
"CHLRE_02g116800v5",546.880684538789,-1.45363545786688,0.137938694233255,-3.28867443894884,0.00100660385394463,0.00643043036156292
"CHLRE_03g150750v5",303.636857201059,-1.456053231336,0.139485048593095,-3.269549216464,0.00107718996356649,0.00684858326496082
"CHLRE_11g483351v5",1779.74243141149,-1.45681940954702,0.0607873414005264,-7.51504176728261,5.68927678081083e-14,1.28434736216082e-12
"CHLRE_05g241350v5",322.618740608325,-1.45861723188941,0.133630957063459,-3.43196847472717,0.000599217209191944,0.00399966016559032
"CHLRE_04g214501v5",2255.67751226424,-1.46087986807387,0.0508183381309652,-9.06916449896746,1.19933105109189e-19,3.71157218659099e-18
"CHLRE_09g396772v5",919.511844993967,-1.46679608341559,0.0771691249617336,-6.04900060285853,1.45747114271941e-09,2.1316941001339e-08
"CHLRE_09g390208v5",214.326401647171,-1.4691731960111,0.160800648512359,-2.91773198896668,0.00352587260014513,0.0199835083814169
"CHLRE_09g400330v5",200.422799004258,-1.47133706919658,0.164301600886134,-2.86873083801071,0.0041212234672824,0.0229951967314754
"CHLRE_14g632750v5",177.522704648229,-1.47216140148354,0.175946324050906,-2.68355365780152,0.00728442848768749,0.0387259776142931
"CHLRE_16g651650v5",235.13345359261,-1.47254465630965,0.156271726361591,-3.02386533579495,0.0024956749949195,0.0146235601896662
"CHLRE_16g652000v5",888.039425666468,-1.47394158303028,0.0865603612757157,-5.47527270040685,4.36838359447082e-08,5.41470995675388e-07
"CHLRE_01g037850v5",1628.23115958192,-1.47491983955355,0.0611892746332282,-7.7614883065741,8.39384597399249e-15,2.02710295795695e-13
"CHLRE_07g315150v5",240.008005872605,-1.48233168257043,0.151721475702762,-3.17906005287851,0.00147753476227307,0.00910286083599482
"CHLRE_07g326200v5",292.52987427667,-1.48325165234826,0.143305705715671,-3.37217314506,0.000745775480673254,0.00487413821144911
"CHLRE_07g345850v5",328.637813202474,-1.48409256275307,0.142090548259705,-3.40693007861627,0.000656979550263673,0.00434853461527216
"CHLRE_08g362076v5",231.511235676122,-1.48592821908619,0.158733270932004,-3.0612877579669,0.00220387176784976,0.0130777051062374
"CHLRE_05g235500v5",313.500832390105,-1.49004927763953,0.147102108273706,-3.33135454950599,0.000864244509942809,0.00556666381111336
"CHLRE_17g727600v5",207.90151201013,-1.49049892223676,0.167312682672264,-2.93163025302484,0.00337187934012119,0.0192038905013849
"CHLRE_06g293516v5",554.658524370254,-1.49126539895231,0.0971466444859771,-5.05694665576657,4.26022342324182e-07,4.71195835664119e-06
"CHLRE_07g325730v5",326.403934814547,-1.49242622719342,0.131734483434967,-3.73802070918291,0.000185474672389741,0.00135850022582643
"CHLRE_02g147350v5",348.308977897167,-1.49480413118852,0.13228577157515,-3.74041837830935,0.000183714199067723,0.00134666110155838
"CHLRE_03g157250v5",252.396228881471,-1.4952637187998,0.151309314705735,-3.27318724404365,0.00106342005202531,0.00676563907844016
"CHLRE_08g385150v5",928.002034072397,-1.49777354667836,0.0805857977645302,-6.17693887119958,6.53563629319248e-10,1.0052072052209e-08
"CHLRE_16g690400v5",283.521512305934,-1.49983211283695,0.147862935885454,-3.38037460059742,0.00072387098095114,0.00475091164885489
"CHLRE_01g034400v5",2316.58610017287,-1.50017978728292,0.0501770493260162,-9.96829813632705,2.0979271707969e-23,7.54124128394916e-22
"CHLRE_06g276371v5",370.962843803393,-1.50024011962252,0.172538058865661,-2.89930304601383,0.00373993227323783,0.0210309308217092
"CHLRE_10g439350v5",177.641207157168,-1.50371287692654,0.175986168375007,-2.8622299216901,0.00420671615597297,0.0234023626153115
"CHLRE_10g425200v5",224.660821253198,-1.50375434364018,0.167552605598499,-3.00654437357607,0.00264235485221892,0.0153961648683529
"CHLRE_09g402800v5",972.868612902073,-1.50380633269023,0.073429831045721,-6.86105804024709,6.83523830038079e-12,1.30888545449029e-10
"CHLRE_09g398956v5",303.201903528096,-1.50580472968289,0.157493058084492,-3.21160015453847,0.00131997951020565,0.00819386513124948
"CHLRE_13g579734v5",359.422393075793,-1.51103080872797,0.123522520274886,-4.13714687484299,3.51651032740667e-05,0.000289817508994204
