SampleName,Description,Condition,Time,Sample,Run
LOM1_24_3_S37_L007,RNA-Seq of Chlamydomonas reinhardtii; control experiment,CONTROL,24,LOM1.24.3,3a
LOM1_24_3_S37_L008,RNA-Seq of Chlamydomonas reinhardtii; control experiment,CONTROL,24,LOM1.24.3,4a
LOM2_24_2_S30_L007,RNA-Seq of Chlamydomonas reinhardtii; TAP + 0.1M NaCL experiment,SALT,24,LOM2.24.2,7a
LOM2_24_2_S30_L008,RNA-Seq of Chlamydomonas reinhardtii; TAP + 0.1M NaCL experiment,SALT,24,LOM2.24.2,8a
