"","CONTROL_mean","SALT_mean","M","D","prob","ranking"
"Cre06.g252743.t1.2.v5.5",896.708613002242,2.33510189996964,8.58500993672622,894.373511102272,0.99707626074042,894.414713517739
"Cre12.g551353.t1.1.v5.5",579.82801100145,1.05026279998635,9.10873085158472,578.777748201463,0.995564033647804,578.849419789709
"Cre12.g551352.t1.1.v5.5",325.353348500813,0.775582799989917,8.71251087720988,324.577765700823,0.992593694945013,324.694677863873
"Cre11.g469550.t1.2.v5.5",5.32723175001332,332.892049495672,-5.96552456091233,327.564817745659,0.986174997444547,-327.619134526715
"Cre10.g463350.t1.2.v5.5",336.950507250842,5.3998716999298,5.96346775796577,331.550635550913,0.986153952534709,331.604262460413
"Cre09.g399250.t1.2.v5.5",140.02162975035,0.577242599992496,7.92225621505303,139.444387150358,0.983741303942613,139.66924948347
"Cre06.g252750.t1.1.v5.5",120.790503000302,0.0610536999992063,10.9501406800008,120.729449300303,0.981384274040803,121.225020145456
"Cre06.g260700.t1.2.v5.5",157.692377250394,2.24328599997084,6.13535554907217,155.449091250423,0.980556006517909,155.570121033237
"Cre06.g253000.t1.1.v5.5",103.181912250258,0.274318999996434,8.55511982350935,102.907593250262,0.978035126960935,103.262591599068
"Cre06.g281600.t2.1.v5.5",0.24786150000062,99.8863634987015,-8.6546097273807,99.6385019987008,0.977336135312757,-100.013665816619
"Cre03.g199050.t1.2.v5.5",95.192619250238,0.025766199999665,11.8511542191667,95.1668530502383,0.976237290377666,95.9019279045637
"Cre01.g053150.t2.1.v5.5",17.2927127500432,549.854095692852,-4.99081273798071,532.561382942809,0.974283120178461,-532.584767725986
"Cre08.g379187.t1.1.v5.5",0.125000000000313,88.0988361988547,-9.4610510558997,87.9738361988544,0.974174889213582,-88.4811129147074
"Cre14.g622200.t2.1.v5.5",86.6180532502165,0.04999999999935,10.7585239378418,86.5680532502172,0.973732946106992,87.2340167644111
"Cre06.g263200.t1.1.v5.5",85.7939925002145,0.0725953999990563,10.2067827801025,85.7213971002154,0.973427794914347,86.3269154756095
"Cre13.g562150.t1.2.v5.5",82.0282542502051,1.23438949998395,6.05425132464904,80.7938647502211,0.966866292668555,81.0203834869907
"Cre12.g488800.t1.1.v5.5",75.2653470001882,0.981746599987237,6.26049127823322,74.2836004002009,0.966006457780904,74.5469452054312
"Cre14.g629920.t1.1.v5.5",65.3636087501634,0.129606299998315,8.97820797970117,65.2340024501651,0.964480701817679,65.8489429998304
"Cre09.g415050.t1.2.v5.5",63.6300635001591,0.18002469999766,8.46536988834076,63.4500388001614,0.963446494819946,64.0122637553806
"Cre08.g368850.t1.2.v5.5",61.0254712501526,0.04999999999935,10.253267720605,60.9754712501532,0.961848584880134,61.8315258838779
"Cre10.g442800.t1.1.v5.5",67.5511677501689,0.932357099987879,6.1789542751687,66.618810650181,0.96168473522497,66.9047487730078
"Cre03.g162800.t1.2.v5.5",26.8405792500671,592.3251123923,-4.46390154038127,565.484533142233,0.959276596256411,-565.502151755456
"Cre03.g145787.t1.1.v5.5",59.5748572501489,0.762202199990091,6.28838600699779,58.8126550501589,0.957938741273878,59.1478840925183
