GeneName,baseMean,log2FoldChange,lfcSE,stat,pvalue
CHLRE_08g368850v5,60.5930606947103,26.8637614660483,3.26060482857913,7.93219749886677,2.15301674447841e-15
CHLRE_12g487650v5,43.1960261471607,26.4109033002961,3.26164170589891,7.79083222241689,6.65692609494815e-15
CHLRE_03g199050v5,247.203246678909,11.0276272354019,1.63883121168876,6.11876754840956,9.43018465532248e-10
CHLRE_06g252750v5,278.15351455944,10.6860176144188,1.555929962274,6.225227259113,4.8085848025922e-10
CHLRE_17g742250v5,106.759366309687,10.3263184048776,2.20944034092834,4.22112253140039,2.43088747184364e-05
CHLRE_07g327950v5,72.2059875185681,9.65931233755876,1.79307675264917,4.82930377897382,1.37011252424021e-06
CHLRE_12g551352v5,243.859642782689,9.60473306138304,1.59011789213979,5.41138056738912,6.2540699800986e-08
CHLRE_12g551353v5,646.914315621854,9.34522411917269,1.25127231159592,6.66939086067432,2.56867316361482e-11
CHLRE_06g263200v5,86.436502401114,9.22134531318265,1.03659349799941,7.93111796383978,2.17181795548021e-15
CHLRE_09g388351v5,32.7502462952954,9.1188679896381,1.48014537378906,5.48518282961247,4.13042007040663e-08
CHLRE_06g252743v5,354.728020126491,8.89401244666822,1.43538619991052,5.49957387576967,3.80710176848663e-08
CHLRE_03g204500v5,167.442305297317,8.88533511706223,1.43241073959812,5.50493995826543,3.69294107478131e-08
CHLRE_14g629920v5,144.882972500241,8.82900164957834,1.33967284311329,5.84396533065818,5.09726408660286e-09
CHLRE_01g012650v5,27.7851351007096,8.81546308358448,1.32409032828183,5.90251504497129,3.58001458630019e-09
CHLRE_06g278093v5,15.9715357631028,8.63189008513552,1.06784452359751,7.14700493984284,8.86916874109732e-13
CHLRE_10g448450v5,13.7257802149066,8.48181531694328,2.14277054392078,3.49165492225466,0.000480037989937228
CHLRE_12g525450v5,110.017746624402,8.4581599957511,2.02677702179486,3.67981278431229,0.000233405245643922
CHLRE_06g253000v5,74.7385953727986,8.45683408446719,1.28670695198148,5.79528545562292,6.8205069546672e-09
CHLRE_02g081850v5,13.2672930472647,8.41910183367913,1.15512996229432,6.42274209470186,1.33841147890415e-10
CHLRE_02g141946v5,13.0001683422581,8.40438804705737,2.16756714134079,3.41599016973344,0.000635505410745195
CHLRE_09g395547v5,11.8772716025247,8.21821539437326,2.00037014023775,3.60843988278857,0.000308043874211084
CHLRE_06g279216v5,11.8254939170053,8.17040443763449,1.75570995782571,4.08404839630482,4.42578070222737e-05
CHLRE_12g488450v5,40.6613125174619,8.12805096251134,1.26864924809919,5.61861442253741,1.92494896301395e-08
CHLRE_01g009400v5,116.924475844541,8.10877157136168,1.43782146396527,4.94412675670933,7.6485927665436e-07
CHLRE_09g413350v5,117.943908559983,7.79306024958523,1.07387792792656,6.3257285329453,2.52040578276159e-10
CHLRE_11g467558v5,10.2258673087722,7.72832282107673,1.9128147596153,3.51749838151077,0.000435635007187424
CHLRE_14g616050v5,42.0400038381166,7.72448792818796,1.09638902136679,6.13330469125369,8.60720714250143e-10
CHLRE_09g399250v5,107.389115730765,7.55783527998376,1.82353446409861,3.59622228649533,0.000322871929665734
CHLRE_02g108550v5,13.0746400976736,7.50582362754944,1.64474632112858,3.95551796892626,7.63690075008648e-05
CHLRE_06g249500v5,81.5937405834083,7.4429167917159,1.68310311931067,3.82799884201668,0.000129189364170712
CHLRE_02g081900v5,11.7505019776429,7.40111273085221,1.80132468233707,3.55355855255773,0.000380056582955231
CHLRE_15g636550v5,18.6113447896926,7.34361971333439,1.18392842460246,5.35811082960056,8.40966501127251e-08
CHLRE_08g363100v5,10.3576418269054,7.20273820022412,1.69364795901242,3.66235389545829,0.000249908289601443
CHLRE_13g568350v5,12.1893004667225,7.09094551346774,1.10557646333722,5.50929376253362,3.60276226222038e-08
CHLRE_06g249600v5,20.8242696658906,6.77021693764482,1.3816494274128,4.17632492234288,2.96256565455266e-05
CHLRE_16g691750v5,101.867921515365,6.70613500421592,1.01859816910242,5.60194900923895,2.11954913963508e-08
CHLRE_17g714300v5,29.8440154528076,6.68022428547817,1.4995179972379,3.78803341869927,0.000151844428998723
CHLRE_14g615350v5,20.2388599992725,6.63812229503346,1.27511886840312,4.42164447154194,9.79525362339944e-06
CHLRE_05g241202v5,9.74962284212341,6.49949715429574,1.23604363188182,4.44927429133144,8.61609228110564e-06
CHLRE_03g168900v5,23.9082438900256,6.44680000130953,1.42851070332659,3.81292207935544,0.000137333419773282
CHLRE_12g506750v5,22.9464330814964,6.42042805943746,1.34717720100036,4.02354497642366,5.73286298132219e-05
CHLRE_06g266450v5,8.00964442613101,6.41003197151529,1.481545658873,3.65161339383267,0.00026059798793939
CHLRE_01g011150v5,45.8011684340291,6.38880083060361,1.50923604283687,3.57054872641023,0.000356234176003764
CHLRE_06g284150v5,40.3042145292941,6.3752765641452,1.43484277779054,3.74624777525966,0.000179499304216026
CHLRE_11g481750v5,21.171852484039,6.35181330098916,1.02530250293838,5.21974079420618,1.79173720720051e-07
CHLRE_10g452250v5,28.8497630882007,6.34297923730335,1.43066608449759,3.73460956067862,0.000188006632766996
CHLRE_06g302426v5,7.22377055851281,6.23615664794761,1.39644257758339,3.74963978612641,0.000177088761751673
