"","CONTROL_mean","SALT_mean","M","D","prob","ranking"
"Cre14.g632650.t1.1.v5.5",2.38252950006552,0.153795666664693,3.95340731772819,2.22873383340083,0.571850901487998,4.53835696260358
"Cre16.g680250.t1.2.v5.5",18.6084525005117,10.7434771665288,0.792497081727674,7.86497533398294,0.571840719018138,7.90480161855482
"Cre09.g392356.t1.1.v5.5",1.42975700003932,4.47915766660918,-1.64745748109438,3.04940066656987,0.571779624198979,-3.46597180849622
"Cre12.g507650.t1.2.v5.5",5.36186850014745,1.98607299997451,1.43281718620183,3.37579550017294,0.57171174106658,3.66728242000302
"Cre06.g271900.t2.1.v5.5",92.0483730025313,139.716662664874,-0.602039960780912,47.6682896623423,0.571630281307701,-47.6720913265545
"Cre02.g097200.t1.1.v5.5",0.110062500003027,2.31721749997026,-4.39599855640164,2.20715499996724,0.571521668295862,-4.91897718044775
"Cre07.g341100.t1.2.v5.5",7.55024900020763,13.8387546664891,-0.874117993280294,6.28850566628144,0.571497909199522,-6.34896730035918
"Cre03.g202850.t1.1.v5.5",1.92835000005303,5.27279799993233,-1.45120180048302,3.3444479998793,0.571457179320083,-3.64572614023898
"Cre10.g430550.t1.2.v5.5",33.8264940009302,21.0254074997302,0.686019892474219,12.8010865012001,0.571399478657543,12.8194554839149
"Cre09.g392050.t2.1.v5.5",19.019645000523,31.0028034996021,-0.704908361692376,11.9831584990791,0.571328201368524,-12.0038736836254
"Cre03.g171850.t1.1.v5.5",4.27916600011768,1.31108483331651,1.7065686082948,2.96808116680117,0.571290865645704,3.42372344495536
"Cre01.g009676.t1.1.v5.5",5.93387550016318,11.4052299998536,-0.942648977809573,5.47135449969045,0.571273894862604,-5.55196426111051
"Cre12.g547734.t1.2.v5.5",5.36213950014746,1.99380199997441,1.42728660659438,3.36833750017305,0.571260318236125,3.65825704023592
"Cre10.g461950.t1.2.v5.5",52.72752950145,80.7621359989636,-0.615122665419027,28.0346064975136,0.571222982513305,-28.041354057248
"Cre13.g578550.t1.2.v5.5",2.47873050006817,0.221949666663818,3.48129697589842,2.25678083340435,0.571199223416965,4.14879360349737
"Cre02.g143050.t1.2.v5.5",8854.19046724349,5949.24778942365,0.57365313978027,2904.94267781984,0.571172070164006,2904.94273446087
"Cre01.g010100.t1.2.v5.5",15.1331920004162,25.0667178330116,-0.728056782879022,9.93352583259548,0.571155099380906,-9.96017078899443
"Cre03.g190750.t1.1.v5.5",3.09559700008513,7.07891349990915,-1.19331028003696,3.98331649982403,0.571131340284566,-4.15822074476719
"Cre10.g450050.t1.1.v5.5",3.5417125000974,7.75369083323383,-1.13043610543339,4.21197833313643,0.571131340284566,-4.36103740723215
"Cre12.g540250.t1.2.v5.5",56.5366215015547,36.3053338328674,0.639004154892959,20.2312876686873,0.571087216248507,20.2413766093898
"Cre05.g247500.t1.1.v5.5",10.7404820002954,18.5306273330955,-0.786852984415674,7.79014533280016,0.571056668838927,-7.82978300626729
"Cre11.g467578.t1.1.v5.5",4865.27229513379,3288.0183284578,0.565302209627473,1577.25396667599,0.570917508417508,1577.25406798072
"Cre03.g205809.t1.1.v5.5",7.5926325002088,3.43489399995592,1.14433460181664,4.15773850025288,0.570839442815249,4.3123417208519
"Cre01.g023200.t1.2.v5.5",48.9528910013462,31.2266216662659,0.648617567240106,17.7262693350803,0.570832654502009,17.7381320687478
"Cre12.g520500.t1.1.v5.5",4202.02237061556,2839.1914497969,0.56560370776003,1362.83092081866,0.57078174215271,1362.83103818741
"Cre12.g554450.t1.1.v5.5",3.09036650008498,0.609299666658847,2.3425540876078,2.48106683342614,0.57075798305637,3.4122210194088
"Cre03.g154250.t1.1.v5.5",30.6801165008437,18.8454626664248,0.703086746771196,11.8346538344189,0.570683311610731,11.8555203324869
"Cre12.g497950.t1.2.v5.5",14.9136875004101,24.755034666349,-0.73108495271908,9.84134716593885,0.570554333659172,-9.86846488814876
"Cre12.g535851.t1.1.v5.5",3318.40389609126,2232.63350663801,0.571743045154472,1085.77038945324,0.570500027153253,1085.77053998695
"Cre03.g164900.t1.1.v5.5",2.73882250007532,6.52219166658297,-1.25180106828053,3.78336916650765,0.570469479743673,-3.98508320673848
"Cre12.g494600.t1.2.v5.5",0.201615500005544,2.43829266663538,-3.59619284085076,2.23667716662983,0.570466085587053,-4.23501212469451
"Cre02.g075850.t2.1.v5.5",3.53768150009729,0.863822999988914,2.03399653195036,2.67385850010837,0.570445720647334,3.35956264573053
"Cre06.g257600.t1.1.v5.5",2.27094400006245,0.0833333333322639,4.76825463134268,2.18761066673019,0.570421961550994,5.24613120866345
"Cre04.g217912.t1.1.v5.5",2.44751800006731,6.0496858332557,-1.30554075356638,3.60216783318839,0.570408384924514,-3.83145530545246
"Cre10.g418000.t1.2.v5.5",11.3492760003121,5.93063683325722,0.936341332047146,5.41863916705488,0.570394808298034,5.49894403616195
"Cre02.g107300.t1.2.v5.5",41.4748410011406,64.2249383325091,-0.630897149435654,22.7500973313686,0.570354078418595,-22.7588435514617
"Cre03.g145447.t1.1.v5.5",4.9200385001353,1.71121666664471,1.52364716591882,3.2088218334906,0.570323531009015,3.55218781109591
"Cre12.g500150.t1.1.v5.5",84.6715720023285,127.936319331692,-0.595476303980234,43.264747329363,0.570303166069295,-43.268845067811
"Cre07.g357850.t1.2.v5.5",2689.77971557397,1806.37643697682,0.574389453158637,883.40327859715,0.570269224503095,883.40346533135
"Cre02.g110600.t1.2.v5.5",5.236293500144,10.3122619998677,-0.977742953959986,5.07596849972366,0.570262436189856,-5.16927823725956
"Cre06.g254240.t1.1.v5.5",35.6467495009803,22.2398384997146,0.680624216889353,13.4069110012657,0.570245465406756,13.4241763963558
"Cre08.g360950.t1.1.v5.5",35.780188000984,22.3829644997128,0.67675984186946,13.3972235012712,0.570211523840556,13.4143058495988
"Cre03.g182800.t1.1.v5.5",63.8887670017569,41.2766711661369,0.630235670498345,22.61209583562,0.570184370587596,22.62087697415
"Cre09.g388949.t1.1.v5.5",5.05543150013902,10.0589059998709,-0.992567265135598,5.00347449973189,0.570174188117736,-5.1009750876951
"Cre16.g694500.t1.1.v5.5",4.39397600012083,1.38765666664886,1.66287632864048,3.00631933347198,0.570174188117736,3.4355659823616
"Cre07.g346418.t1.2.v5.5",0.673766500018528,3.19510566662566,-2.24554304001772,2.52133916660713,0.569916232214619,-3.37633155031303
