"geneName","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CHLRE_12g487650v5",150.207332794587,11.9093256894285,0.847149934256473,12.8776799103496,6.01156359073584e-38,3.53939646939265e-35
"CHLRE_09g388352v5",124.444194204001,11.637869398173,0.86966802017501,12.2321036894427,2.0944317574906e-34,9.9824606955826e-32
"CHLRE_03g146887v5",107.741162244745,11.4299399966224,0.891289429032607,11.7020797699159,1.24367497529671e-31,5.18664284489367e-29
"CHLRE_06g252743v5",967.507820003941,11.4022149994131,0.455022407411907,22.860885156358,1.1389736264248e-115,3.7999956756286e-112
"CHLRE_09g388353v5",91.3717706541945,11.1921888016396,0.92101586752231,11.0662466967679,1.82901610935495e-28,6.43942941257231e-26
"CHLRE_12g493100v5",81.0391599510493,11.0190604870141,0.947401550741372,10.5753051376936,3.87912694543806e-26,1.14194651755558e-23
"CHLRE_17g742250v5",371.352228170471,11.0157866020296,0.660550731336206,15.1627817923522,6.23707027807321e-52,6.93631515702608e-49
"CHLRE_12g551352v5",846.405067056643,11.0091263498984,0.465164750232118,21.517379261657,1.07044424324239e-102,2.67851910765328e-99
"CHLRE_08g368000v5",76.3942700863029,10.9339051066123,0.961518167851333,10.3314793612389,5.07714400190485e-25,1.37343606256934e-22
"CHLRE_07g346950v5",67.9715858665573,10.7653709657978,0.993255160466693,9.83168409737678,8.2231961236345e-23,2.00746268296238e-20
"CHLRE_02g079500v5",97.9843069271946,10.5694544595436,0.9025405691555,10.6027970227396,2.89199117178108e-26,8.77149686010813e-24
"CHLRE_02g146400v5",55.0492164395436,10.4611598556036,1.06790170462509,8.85957931767243,8.03169443547691e-19,1.38602120008083e-16
"CHLRE_12g551353v5",2248.86084091161,10.3772715928695,0.340942340122086,27.503980847646,1.57334591460088e-166,1.57476192592402e-162
"CHLRE_07g327900v5",251.116552469562,10.2831163378647,0.632458320906919,14.6778309826854,8.94048416517823e-49,8.13502781902444e-46
"CHLRE_10g448400v5",47.7516998591748,10.25598295128,1.14562469315678,8.07941990650976,6.50755855421638e-16,8.92248679029476e-14
"CHLRE_02g141950v5",45.2494321959177,10.1783256767196,1.21170683037034,7.57470821049541,3.59935696586702e-14,4.4476498606621e-12
"CHLRE_02g145602v5",43.791195828601,10.1310744935309,1.17530410099681,7.76911650847344,7.90354461058453e-15,1.01418689753001e-12
"CHLRE_06g263176v5",247.161220376789,10.0374056241399,2.46239094448923,3.67017497540973,0.000242384493382805,0.00748773578477929
"CHLRE_05g245451v5",37.4122403104088,9.90391994181117,1.52804239522351,5.82701106307248,5.6428872988971e-09,4.12260284486577e-07
"CHLRE_09g388350v5",113.924226371649,9.79932114351437,0.800239054128374,10.9958656705385,4.00056144684534e-28,1.33472065071583e-25
"CHLRE_03g204465v5",579.276540006526,9.77316805645119,0.808056725950992,10.8571190297639,1.84477578962746e-27,5.95624544463911e-25
"CHLRE_01g030300v5",33.4201425974752,9.74113915765981,1.38347837946037,6.31823329329462,2.6457041163293e-10,2.20673770836167e-08
"CHLRE_14g629920v5",504.083744414183,9.712314778679,0.429634763594368,20.2784213870192,1.99429496857466e-91,3.32681639007729e-88
"CHLRE_12g494550v5",31.3172248829082,9.64738521980975,1.45441342332442,5.94561703098424,2.75417389718128e-09,2.08837322249147e-07
"CHLRE_01g012650v5",96.6681324477131,9.55059110415147,0.772759192572262,11.0650137666941,1.85434400140742e-28,6.43942941257231e-26
"CHLRE_10g448450v5",27.7967637720366,9.47534025490308,1.49500123956884,5.66911921581243,1.43533471558541e-08,9.64178870355326e-07
"CHLRE_11g467558v5",35.574006538132,9.46670586918379,1.11882650992686,7.56748771508579,3.80511145954413e-14,4.58859766247918e-12
"CHLRE_02g081850v5",25.9941249592311,9.37860483603897,1.54803691080116,5.41240636936929,6.21833714912127e-08,3.74935762202137e-06
"CHLRE_12g525450v5",382.803489345879,9.16344877105063,1.58470927669958,5.15138574064029,2.585687381067e-07,1.39892675659998e-05
"CHLRE_06g278092v5",21.9762202572462,9.136356811448,1.69306831708164,4.8056872421266,1.54220825962595e-06,7.452892037134e-05
"CHLRE_06g252913v5",260.150461688963,9.11052819555862,0.779110457804876,10.4099850211353,2.2325678056943e-25,6.20715865755397e-23
"CHLRE_02g108601v5",45.5040827429069,9.09592773189589,1.02003817327824,7.93688701460737,2.07318743488196e-15,2.76673773809781e-13
"CHLRE_16g652483v5",20.9464014538159,9.06711564696835,1.73765459414796,4.64253118780719,3.44166667875055e-06,0.000155871682296897
"CHLRE_12g488450v5",141.481473049923,8.86048575791041,0.652876266897297,12.0397786785332,2.19543856638151e-33,9.98824755041479e-31
"CHLRE_08g363050v5",36.0225905406222,8.7577543742529,1.08263506855712,7.16562265490995,7.74337917734555e-13,8.07327939438037e-11
"CHLRE_06g257550v5",16.0685802186425,8.68464397911105,1.97456622211334,3.8918137528385,9.94976134014817e-05,0.00324388147405678
"CHLRE_14g616050v5",142.984721957422,8.64714408708447,0.585373544739204,13.0636995057428,5.3084048824125e-39,3.54212163120445e-36
"CHLRE_10g433476v5",19.1459863509966,8.57029105343617,1.39456788153264,5.42841345601362,5.68572041377061e-08,3.47002290374573e-06
"CHLRE_12g557503v5",14.5698909745201,8.54338839839925,2.06479258767944,3.65333953802936,0.000258851575892529,0.00792307468840466
"CHLRE_09g413300v5",360.268626759799,8.47745303618661,1.81437304524508,4.12123243110491,3.76850979971921e-05,0.0013423136863128
"CHLRE_09g396700v5",13.8219852957836,8.467356447276,2.38267598674534,3.13402094486048,0.00172428547845714,0.040703710740277
